call_id,subject,business_partner_code,business_partner_name,sales_employee_name,creation_date,due_date,managed_by,business_partner_ref_no,quoted_or_estimated_amount,job_status,calltype
3933,ID-3933_P5839-25 HMC Capital - HomeCo Kotara - New Induction Loop at Beacon Lighting Entry,BBRC8F,Home-Co Kotara,Kurt Schober,16/06/25,16/06/25,Chris Stevens,email,6822,Open,Software
3935,ID-3935 Vodafone D205 Preston - service call,HUTE8A,TPG Telecom Limited (formerly Vodafone Hutchinson Australia),Kurt Schober,17/06/25,31/07/25,Michael Wyatt,,0,Dispatched,Hardware
3938,ID-3938 Vodafone Partner L1157 Keysborough service call,HUTE8A,TPG Telecom Limited (formerly Vodafone Hutchinson Australia),Kurt Schober,18/06/25,31/07/25,Michael Wyatt,,0,Dispatched,Hardware
3940,RMA-ID-3940 Extel,EXTE3U,Extel Technologies Pty Ltd,Jennifer Chen,18/06/25,30/06/25,Chris Stevens,P80109,4700,Pending,RMA
3946,ID-3946 Vodafone Partner L1172 Burleigh Heads service call,HUTE8A,TPG Telecom Limited (formerly Vodafone Hutchinson Australia),Kurt Schober,20/06/25,31/07/25,Michael Wyatt,TPG3042018,0,Open,Hardware
3948,ID-3948 Vicinity Armidale - equipment for traffic counters after wifi upgrade,SC2350-001,Armidale Central,Kurt Schober,23/06/25,31/07/25,Michael Wyatt,,177,Open,Hardware
3951,ID-3951 P6871-25 GPT - Cockburn Gateway - Foot Traffic Counter Upgrade at 4 Entries,SC6164-001,Cockburn Gateway Shopping City,Kurt Schober,25/06/25,31/07/25,Michael Wyatt,PO# 4500375058,15292,Dispatched,Solution
3955,ID-3955_McConaghy - Kingaroy - Sensor Kit Replacement for Bakery Entry,SC4610-001,Kingaroy Shoppingworld,Kurt Schober,30/06/25,,--No Tech Support--,email approval,1822,Open,Hardware
3960,ID-3960 Vicinity Warwick Grove Shopping Centre - service call,SC6024-001,Warwick Grove Shopping Centre,Kurt Schober,02/07/25,29/08/25,Michael Wyatt,TBC,900,Dispatched,Hardware
3961,ID-3961 Vodafone partner L1179 Point Cook - service call,HUTE8A,TPG Telecom Limited (formerly Vodafone Hutchinson Australia),Kurt Schober,02/07/25,31/07/25,Michael Wyatt,TBC,0,Dispatched,Hardware
3963,TS-ID-3963 P6886-25 Water NSW - Counter Rental for FR15 Mount Kembla,SCAU8,Water NSW,Kurt Schober,03/07/25,31/07/26,--No Tech Support--,PO00029428,3294,Dispatched,Traffic Survey
3964,ID-3964 ISPT - Melbourne GPO - H&M Entry service call,SC3000-003,Melbourne's GPO Shopping Centre,Kurt Schober,03/07/25,,Michael Wyatt,2P1338u250008A,720,Dispatched,Hardware
3966,ID-3966_Vicinity DFO Brisbane - CS - Service Call,SC4008-001,DFO Brisbane,Kurt Schober,04/07/25,31/07/25,Chris Stevens,email,1080,Open,Hardware
3968,ID-3968_Optus July 25,OPMO8,Optus Mobile Pty Ltd,Kurt Schober,05/07/25,15/08/25,Chris Stevens,Contract,10000,Open,Contract
3969,ID-3969_P6817-25 State Library NSW - Foot Traffic Counter Accuracy Audit,SLNS2,State Library of NSW,Kurt Schober,05/07/25,31/07/25,Chris Stevens,email approval,6052,Open,Customer Site Audit
3970,ID-3970_P6876-25 State Library NSW - New Foot Traffic Counters at 2 Locations,SLNS2,State Library of NSW,Kurt Schober,05/07/25,31/07/25,Chris Stevens,email approval,8779,Open,Solution
